writer,num_articles,gender,last_url
Emily Alpert Reyes,33,female,http://www.latimes.com/local/lanow/la-me-ln-homeless-encampment-cleanup-dumping-bathrooms-trash-20190619-story.html
David Ng,31,male,http://www.latimes.com/business/hollywood/la-fi-ct-uta-lawsuit-20190627-story.html
Harriet Ryan,17,female,http://www.latimes.com/local/lanow/la-me-earthquake-california-shake-quake-20190704-story.html
Scott Fritz,2,male,http://www.latimes.com/travel/la-tr-sweden-dog-sledding-20181209-htmlstory.html#nt=barker
Ronald D. White,7,male,http://www.latimes.com/business/la-fi-osi-rapiscan-border-security-detection-20190706-story.html
Steve Lopez,65,male,http://www.latimes.com/local/california/la-me-lopez-edge-malibu-20190626-story.html#nt=barker
Carolina A. Miranda,36,female,http://www.latimes.com/entertainment/arts/miranda/la-et-cam-essential-arts-la-phil-centennial-season-20190622-story.html
Jenny Jarvie,23,female,http://www.latimes.com/world/la-na-alabama-fetus-death-marshae-jones-20190703-story.html
Melanie Mason,42,female,http://www.latimes.com/politics/la-na-pol-2020-democratic-debate-miami-20190626-story.html#nt=barker
Brittny Mejia,23,female,http://www.latimes.com/local/lanow/la-me-ln-evangelicalism-catholicism-church-luz-del-mundo-mexico-guadalajara-los-angeles-20190627-htmlstory.html#nt=barker
Corina Knoll,3,female,https://www.nytimes.com/2019/05/13/nyregion/nxivm-cult-allison-mack.html
Charles Solomon,2,male,http://www.latimes.com/entertainment/herocomplex/la-hc-anime-fest-gundam-20190627-story.html
Glenn Whipp,42,male,http://www.latimes.com/entertainment/envelope/la-en-st-ginnifer-goodwin-twilight-zone-emmys-20190614-story.html#nt=barker
Randy Lewis,44,male,http://www.latimes.com/entertainment/music/la-et-ms-taylor-swift-scooter-braun-master-recordings-20190703-story.html
Josh Rottenberg,22,male,http://www.latimes.com/entertainment/movies/la-et-mn-academy-board-of-governors-elections-20190611-story.html
Sam Farmer,53,male,http://www.latimes.com/sports/more/la-sp-sam-querrey-rafael-nadal-wimbledon-20190708-story.html#nt=barker
Jim Puzzanghera,22,male,http://www.latimes.com/business/la-fi-trump-stephen-moore-federal-reserve-20190322-story.html
Evan Halper,35,male,http://www.latimes.com/politics/la-na-pol-2020-joe-biden-income-20190709-story.html
Jazmine Ulloa,15,female,https://www.latimes.com/politics/la-pol-ca-gavin-newsom-california-data-dividend-20190505-story.html
Ronald J. Krotoszynski Jr.,2,male,http://www.latimes.com/opinion/op-ed/la-oe-krotoszynski-trump-tax-returns-california-state-laws-20190509-story.html
Rebecca Greenfield,4,female,http://www.latimes.com/business/la-fi-dads-parental-leave-20190614-story.html
Jack Flemming,162,male,http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-manor-holmby-hills-120-million-price-record-20190701-story.html#nt=barker
Neal J. Leitereg,85,male,http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-kawhi-leonard-rancho-santa-fe-home-20190124-story.html
Michael Hiller,21,male,http://www.latimes.com/travel/lasvegas/la-tr-travel-las-vegas-locale-restaurant-eataly-20190619-story.html
Rosemary Mcclure,66,female,http://www.latimes.com/travel/la-tr-travel-vancouver-things-to-do-capilano-bridge-skyride-surf-20190707-story.html
Michael Schaub,126,male,http://www.latimes.com/books/la-et-jc-michael-mann-heat-novel-20190708-story.html
Bonnie Mccarthy,20,female,http://www.latimes.com/home/la-hm-inside-the-big-brother-house-20190706-story.html
Adam Tschorn,69,male,http://www.latimes.com/style/la-marijuana-updates-20170822-bloom-farms-doubles-its-meal-donations-1539713980-htmlstory.html
Sushrut Jangi,2,unknown,https://www.bostonglobe.com/magazine/2018/12/12/doctor-explains-why-gut-health-important-heart-health/YatfWv6v1FUdzuBHarW3NM/story.html
Kevin Slane,2,male,https://www.bostonglobe.com/lifestyle/names/2019/03/01/jayson-tatum-flies-planes-with-stem-students-logan-airport/RTxdojv6RXDBoCKMXgNcAN/story.html
Melissa Schorr,2,female,https://www.bostonglobe.com/magazine/2019/02/14/blind-dates-behind-scenes-look-dinner-with-cupid-its-anniversary/jy8KnD313wN69FzEeor0DL/story.html
Jessie Scanlon,1,male,https://www.bostonglobe.com/magazine/2018/12/10/can-these-researchers-catch-cancer-much-earlier-than-ever-before/sENzKATbyLojC3tGM2IrbM/story.html
Sopan Deb,18,unknown,http://www.nytimes.com/2019/06/21/sports/stephen-curry-finals-durant-politics.html
Michael Sweeney,1,male,https://www.bostonglobe.com/ideas/2018/12/12/the-yellow-vests-protesters-are-wrong/Q6LfNmrPtctK5LCmnUbGAN/story.html
Thomas Levenson,2,male,https://www.bostonglobe.com/ideas/2019/04/04/levenson/kwQQQf8e3RrzaKS0k8esgI/story.html?p1=Article_FeatureStrip
Rachelle G. Cohen,2,female,https://www.bostonglobe.com/opinion/2019/02/14/seth-moulton-goes-where-fellow-democrats-fear-tread/g2UoF5xbbSx2020vaZp8aI/story.html
Jon Gorey,5,male,https://www.bostonglobe.com/magazine/2017/03/15/one-excellent-tour-new-england-brewery-coast/p2EhMeb9j6zEQzlpme7FgN/story.html
Charles Dunst,1,male,http://www.latimes.com/world/la-fg-vietnam-war-allies-20190521-story.html
Caitlin Mcfall,25,female,https://dailycaller.com/2019/01/08/video-interview-border-patrol-union-judd-trump-national-address/
Evie Fordham,13,female,https://www.infowars.com/us-companies-to-leave-china-amid-trade-standoff/#vuukle-comments
Saagar Enjeti,5,unknown,https://dailycaller.com/2019/03/08/white-house-communications-bill-shine-resigns/
David Krayden,3,male,https://www.infowars.com/new-york-approves-drivers-licenses-for-illegal-immigrants/#vuukle-comments
